,ภาค,จังหวัด,เพศ,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564
167,ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,หญิง,2637.0,2458.0,2086.0,1972.0,1821.0,1848.0,1819.0,1736.0,1555.0,1521.0
168,ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,รวม,5270.0,4920.0,4814.0,4538.0,4295.0,4281.0,3944.0,3790.0,3586.0,3349.0
169,ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,ชาย,2758.0,2512.0,2501.0,2287.0,2170.0,2172.0,2019.0,1967.0,1825.0,1712.0
170,ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,หญิง,2512.0,2408.0,2313.0,2251.0,2125.0,2109.0,1925.0,1823.0,1761.0,1637.0
171,ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,รวม,21008.0,19643.0,19221.0,17964.0,17628.0,16959.0,15860.0,14916.0,14012.0,13251.0
172,ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,ชาย,10842.0,10198.0,9976.0,9372.0,9046.0,8848.0,8123.0,7750.0,7176.0,6952.0
173,ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,หญิง,10166.0,9445.0,9245.0,8592.0,8582.0,8111.0,7737.0,7166.0,6836.0,6299.0
174,ภาคตะวันออกเฉียงเหนือ,อุดรธานี,รวม,17444.0,16356.0,16119.0,15159.0,14722.0,14603.0,13819.0,12755.0,11775.0,10852.0
175,ภาคตะวันออกเฉียงเหนือ,อุดรธานี,ชาย,8893.0,8263.0,8253.0,7887.0,7642.0,7444.0,7062.0,6506.0,6107.0,5540.0
176,ภาคตะวันออกเฉียงเหนือ,อุดรธานี,หญิง,8551.0,8093.0,7866.0,7272.0,7080.0,7159.0,6757.0,6249.0,5668.0,5312.0
